"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013722","1955","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    858.2","","     858.2","0","       105","0","        69","0","         9","0","        9","","         4","0","         0","0","        83","0","         2","0","       218","0","        42","0","       150"," ","","","        50"," ","  -10.6","0,0213, ","   178"," ,0,0120, ","   229"," ,0,0119, "," 104.6"," ,0,0817, ","   36.7","0,0703, ","0.0","0,1104","-2.8","0,1105","-7.8","0,1129","-7.8","0,1129","-10.0","0,1216","-0.6","0,0330","-4.4","0,0328","-4.4","0,0328","-6.7","0,0327","-10.6","0,0213","    1914.0","0","","","","","","","","","    1914.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1038.1"," ,0","","","      366"," ,0","     15.32","0","     21.45","0","      9.19","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1956","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    840.4","","     840.4","0","       110","0","        76","0","        10","0","        1","","         1","0","         0","0","        71","0","         0","0","       200","0","        51","0","       149"," ","","","        54"," ","   -6.1","0,0122,+","    25"," ,0,0123, ","    51"," ,0,0123, ","  58.7"," ,0,0926, ","   36.1","0,0916,+","-1.1","0,1110","-2.2","0,1120","-5.6","0,1123","","","","","0.0","0,0509","-2.2","0,0421","-4.4","0,0322","","","","","    2111.4","4","","","","","","","","","    2111.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1013.9"," ,0","","","       51"," ,0","     15.50","0","     21.61","0","      9.39","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1957","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    877.1","","     877.1","0","       121","0","        81","0","         9","0","        0","","         1","0","         0","0","        57","0","         3","0","       194","0","        42","0","       169"," ","","","        44"," ","  -12.2","0,1212, ","     0","T,0,1212,+","    25"," ,0,1211, "," 110.0"," ,0,0511, ","   36.7","0,0816,+","-2.8","0,1028","-2.8","0,1028","-4.4","0,1110","-8.3","0,1211","-12.2","0,1212","-0.6","0,0415","-2.2","0,0321","-4.4","0,0218","-6.7","0,0120","-10.6","0,0119","    1734.3","3","","","","","","","","","    1734.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1175.5"," ,0","","","       25"," ,0","     15.59","0","     21.54","0","      9.64","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1958","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    762.8","","     762.8","0","       100","0","        70","0","        14","0","       12","","         4","0","         0","0","        84","0","         7","0","       191","0","        33","0","       136"," ","","","        49"," ","  -13.9","0,1216,+","   229"," ,0,1212, ","   231"," ,0,1211, ","  75.9"," ,0,1228, ","   35.0","0,0731,+","0.0","0,1030","-6.1","0,1130","-6.1","0,1130","-8.3","0,1201","-10.6","0,1212","0.0","0,0402","-2.2","0,0316","-7.8","0,0221","-7.8","0,0221","-11.1","0,0219","    2217.6","6","","","","","","","","","    2217.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1158.4"," ,0","","","      444"," ,0","     14.12","0","     20.01","0","      8.21","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1959","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    905.1","","     905.1","0","       115","0","        82","0","        14","0","        2","","         2","0","         0","0","        79","0","         3","0","       203","0","        38","0","       167"," ","","","        42"," ","  -12.2","0,0118,+","    51"," ,0,0110,+","    43"," ,0,0108, ","  75.9"," ,0,0830, ","   38.9","0,0630, ","0.0","0,1103","-6.1","0,1118","-6.1","0,1118","-6.7","0,1130","","","-3.3","0,0329","-3.3","0,0329","-6.1","0,0319","-11.1","0,0221","-11.1","0,0221","    1994.7","7","","","","","","","","","    1994.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1244.0"," ,0","","","       73"," ,0","     15.46","0","     21.59","0","      9.33","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1960","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    806.3","","     806.3","0","       103","0","        73","0","        17","0","       19","","         3","0","         0","0","       101","0","         6","0","       200","0","        39","0","       147"," ","","","        47"," ","  -11.7","0,1223,+","   254"," ,0,0310, ","   175"," ,0,0309, ","  66.0"," ,0,0729, ","   35.6","0,0624, ","-1.1","0,1025","-5.0","0,1108","-5.0","0,1108","-8.3","0,1203","-10.0","0,1213","-2.8","0,0411","-2.8","0,0411","-7.2","0,0314","-7.2","0,0314","-9.4","0,0307","    2175.9","9","","","","","","","","","    2175.9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1219.8"," ,0","","","      474"," ,0","     14.40","0","     20.56","0","      8.23","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1961","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    786.3","","     786.3","0","       118","0","        75","0","        11","0","        7","","         3","0","         0","0","        78","0","         5","0","       198","0","        41","0","       170"," ","","","        43"," ","  -13.9","0,0122, ","    25"," ,0,0205,+","    30"," ,0,0203,+","  48.3"," ,0,0820, ","   34.4","0,0731, ","-0.6","0,1027","-2.2","0,1028","-5.0","0,1122","-7.8","0,1226","-9.4","0,1230","0.0","0,0407","-2.2","0,0317","-5.6","0,0206","-7.8","0,0203","-8.9","0,0128","    2118.7","7","","","","","","","","","    2118.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1044.8"," ,0","","","       96"," ,0","     14.84","0","     21.07","0","      8.61","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1962","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    788.5","","     788.5","0","       108","0","        76","0","        13","0","        9","","         8","0","         0","0","        87","0","         4","0","       199","0","        28","0","       189"," ","","","        47"," ","  -15.6","0,1213, ","   127"," ,0,0111, ","   127"," ,0,0110, ","  96.5"," ,0,1109, ","   35.0","0,0716,+","-2.8","0,1025","-2.8","0,1025","-7.2","0,1027","-7.2","0,1027","-11.7","0,1212","-1.7","0,0417","-4.4","0,0308","-4.4","0,0308","-8.3","0,0211","-8.9","0,0207","    2032.8","8","","","","","","","","","    2032.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1227.1"," ,0","","","      408"," ,0","     14.54","0","     20.52","0","      8.57","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1963","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    679.7","","     679.7","0","       105","0","        74","0","         6","0","        3","","         1","0","         0","0","        90","0","         6","0","       205","0","        36","0","       155"," ","","","        31"," ","  -13.9","0,0124, ","   178"," ,0,0227, ","   175"," ,0,0226, "," 115.6"," ,0,1106, ","   36.1","0,0728, ","-1.1","0,1031","-2.2","0,1114","-7.8","0,1215","-7.8","0,1215","-9.4","0,1216","-1.7","0,0502","-3.3","0,0323","-5.6","0,0228","-12.8","0,0227","-12.8","0,0227","    2182.5","5","","","","","","","","","    2182.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    937.8"," ,0","","","      178"," ,0","     14.17","0","     20.68","0","      7.67","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1964","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    748.0","","     748.0","0","       121","0","        81","0","        11","0","        1","","         3","0","         0","0","        78","0","         2","0","       197","0","        25","0","       192"," ","","","        45"," ","  -12.8","0,0115, ","    25"," ,0,0113, ","    25"," ,0,0228,+","  74.9"," ,0,0831, ","   37.2","0,0621,+","-1.7","0,1012","-5.0","0,1122","-5.0","0,1122","-7.2","0,1123","-9.4","0,1201","-1.1","0,0410","-5.0","0,0331","-5.0","0,0331","-7.8","0,0223","-8.9","0,0204","    2099.5","5","","","","","","","","","    2099.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1090.3"," ,0","","","       98"," ,0","     14.91","0","     21.21","0","      8.60","0","","","","","","","","","","","","","","","","","",""
